epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,2592.37,0.8876,1.43024,0.59714,0.8879,0,0.75798,0.74239,0.79547,0.56401,0.75825,0.69739,0.75461,0.41928,0.89377,1.41713,0.64214,0.89837,0,0.00448115,0.00149372,0.00448115,0.00149372,0.00448115,0.00149372,0.00448115,0.00149372
23,2707.31,0.90079,1.44851,0.59998,0.88954,0,0.75551,0.75395,0.80112,0.56768,0.7387,0.70239,0.74647,0.41384,0.88914,1.41752,0.63225,0.8933,0,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
24,2821.67,0.89813,1.43615,0.59758,0.88667,0,0.77431,0.73597,0.80593,0.57371,0.75319,0.69778,0.75445,0.41888,0.88331,1.40246,0.62504,0.88964,0,0.00443164,0.00147721,0.00443164,0.00147721,0.00443164,0.00147721,0.00443164,0.00147721
25,2936.02,0.89927,1.42247,0.59255,0.88943,0,0.76156,0.7506,0.80216,0.56423,0.75488,0.70547,0.75797,0.42276,0.89421,1.43515,0.63536,0.90222,0,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
26,3050.32,0.88217,1.41556,0.5873,0.88434,0,0.76447,0.74451,0.79831,0.56568,0.7541,0.70151,0.75536,0.4225,0.8887,1.42114,0.63488,0.89644,0,0.00438213,0.00146071,0.00438213,0.00146071,0.00438213,0.00146071,0.00438213,0.00146071
27,3164.42,0.88326,1.41074,0.58158,0.88299,0,0.76137,0.74631,0.79351,0.56589,0.7588,0.69241,0.75074,0.41816,0.88865,1.39911,0.63553,0.89822,0,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
28,3278.95,0.89597,1.41234,0.58618,0.8836,0,0.76871,0.73718,0.79823,0.5636,0.74759,0.6889,0.74227,0.40801,0.90034,1.42159,0.64341,0.89888,0,0.00433262,0.00144421,0.00433262,0.00144421,0.00433262,0.00144421,0.00433262,0.00144421
29,3392.95,0.87546,1.3966,0.57601,0.88251,0,0.76477,0.73667,0.79517,0.56424,0.74777,0.69993,0.74971,0.42336,0.88322,1.40188,0.63688,0.90126,0,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
30,3507.64,0.87939,1.40204,0.57527,0.88259,0,0.76263,0.74541,0.80256,0.57053,0.73197,0.70606,0.7457,0.41124,0.88289,1.38729,0.63933,0.89437,0,0.00428311,0.0014277,0.00428311,0.0014277,0.00428311,0.0014277,0.00428311,0.0014277
31,3622.05,0.87962,1.3866,0.57638,0.88272,0,0.76749,0.74853,0.80247,0.56884,0.75226,0.71673,0.7603,0.42703,0.8903,1.37181,0.63187,0.89931,0,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
32,3736.54,0.88155,1.379,0.5733,0.88371,0,0.76829,0.7398,0.80238,0.56986,0.75269,0.7086,0.76256,0.42822,0.88525,1.39639,0.64071,0.89627,0,0.0042336,0.0014112,0.0042336,0.0014112,0.0042336,0.0014112,0.0042336,0.0014112
33,3851,0.87454,1.36623,0.56747,0.87821,0,0.76283,0.74707,0.79958,0.56394,0.73293,0.70898,0.74602,0.41383,0.88855,1.39682,0.64005,0.89296,0,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
34,3965.4,0.86491,1.33671,0.55751,0.87989,0,0.75697,0.75392,0.8001,0.5676,0.7385,0.71825,0.75722,0.42417,0.89845,1.38695,0.64396,0.90362,0,0.00418409,0.0013947,0.00418409,0.0013947,0.00418409,0.0013947,0.00418409,0.0013947
35,4079.4,0.86114,1.33546,0.55991,0.87734,0,0.76328,0.74897,0.80051,0.56339,0.74192,0.71082,0.75285,0.41649,0.89873,1.43754,0.64216,0.90634,0,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
36,4193.97,0.86893,1.35795,0.56463,0.87917,0,0.77404,0.734,0.80066,0.56612,0.74801,0.69434,0.75025,0.42036,0.89025,1.39736,0.63727,0.90671,0,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819
37,4308.64,0.86932,1.349,0.55943,0.87782,0,0.75787,0.75194,0.79398,0.5674,0.7282,0.72045,0.74424,0.41736,0.88283,1.394,0.62821,0.90027,0,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
38,4423.14,0.85808,1.32684,0.55316,0.87392,0,0.74316,0.75983,0.80284,0.56995,0.74174,0.69856,0.75193,0.4152,0.88296,1.40815,0.64764,0.9034,0,0.00408507,0.00136169,0.00408507,0.00136169,0.00408507,0.00136169,0.00408507,0.00136169
39,4537.42,0.85253,1.30275,0.5431,0.8735,0,0.74634,0.75344,0.79783,0.56916,0.73546,0.7188,0.75882,0.42633,0.88996,1.38177,0.65585,0.89753,0,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
40,4651.13,0.84556,1.30031,0.54759,0.87255,0,0.75249,0.74734,0.80123,0.56953,0.73573,0.7094,0.75427,0.41657,0.89197,1.41082,0.651,0.90287,0,0.00403556,0.00134519,0.00403556,0.00134519,0.00403556,0.00134519,0.00403556,0.00134519
41,4765.41,0.84957,1.28313,0.53931,0.87428,0,0.75388,0.73779,0.79622,0.56271,0.73348,0.71327,0.75626,0.4247,0.89644,1.38822,0.65946,0.90408,0,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
42,4879.9,0.85434,1.31607,0.54267,0.87555,0,0.75283,0.7498,0.79659,0.56473,0.73304,0.71204,0.74998,0.4215,0.89366,1.41523,0.64978,0.90546,0,0.00398605,0.00132868,0.00398605,0.00132868,0.00398605,0.00132868,0.00398605,0.00132868
43,4994.11,0.8411,1.27802,0.53215,0.871,0,0.78244,0.72367,0.80003,0.56829,0.76169,0.70206,0.763,0.43169,0.8877,1.38943,0.64493,0.90204,0,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
