epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,3734.51,0.93139,1.43465,0.64562,0.93386,0,0.7377,0.73995,0.78853,0.55129,0.71764,0.71168,0.74733,0.40521,0.91969,1.37254,0.65703,0.94455,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,3894.68,0.92555,1.41628,0.64529,0.93093,0,0.75337,0.75612,0.8077,0.57455,0.75966,0.72144,0.78211,0.43949,0.90165,1.32677,0.6243,0.92678,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,4055.23,0.91726,1.40434,0.64405,0.9291,0,0.75129,0.74401,0.79343,0.56223,0.74316,0.70808,0.76061,0.4357,0.90512,1.35732,0.63889,0.93576,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,4215.5,0.90919,1.40055,0.63531,0.9281,0,0.7713,0.74946,0.80965,0.58173,0.78407,0.71071,0.78551,0.45164,0.89216,1.30019,0.61568,0.92903,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,4375.96,0.90618,1.36604,0.62522,0.92908,0,0.7531,0.75339,0.80507,0.57386,0.76243,0.71391,0.77333,0.43661,0.89119,1.32964,0.61223,0.92706,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,4536.13,0.88958,1.36012,0.62042,0.92752,0,0.76351,0.73997,0.80587,0.57735,0.75485,0.71121,0.77364,0.44186,0.88895,1.30759,0.61514,0.92974,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,4696.48,0.91064,1.40766,0.62489,0.925,0,0.76705,0.74621,0.81,0.58219,0.76248,0.72653,0.78442,0.44453,0.88623,1.29928,0.61829,0.92318,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,4856.55,0.89946,1.37225,0.62472,0.92145,0,0.75801,0.76931,0.81093,0.57625,0.75013,0.73604,0.77965,0.44036,0.88407,1.34471,0.61669,0.92676,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,5016.82,0.89207,1.35883,0.61232,0.92268,0,0.75705,0.74691,0.80335,0.57299,0.76485,0.70568,0.76774,0.43827,0.90092,1.30579,0.61745,0.92975,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,5176.99,0.89632,1.36573,0.61719,0.92658,0,0.7632,0.75611,0.80572,0.57963,0.75017,0.72874,0.77411,0.45244,0.88338,1.23899,0.6096,0.92802,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,5337.39,0.884,1.41347,0.61223,0.91331,0,0.76388,0.75754,0.80824,0.58095,0.75524,0.72688,0.7784,0.43148,0.88546,1.378,0.61536,0.92652,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,5497.56,0.87567,1.36316,0.60465,0.91324,0,0.76497,0.75668,0.81134,0.58096,0.75229,0.72528,0.77701,0.44079,0.88347,1.29822,0.60361,0.92833,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,5657.92,0.8906,1.35135,0.60301,0.9189,0,0.77634,0.74699,0.8119,0.582,0.77177,0.72188,0.78507,0.44809,0.89512,1.27337,0.61193,0.93153,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,5818.06,0.87286,1.32581,0.59793,0.9149,0,0.77498,0.75259,0.80886,0.58236,0.77881,0.71735,0.7783,0.44371,0.88541,1.34161,0.60298,0.93077,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,5978.47,0.88445,1.35489,0.59895,0.91496,0,0.77942,0.75327,0.80721,0.58044,0.76951,0.73353,0.77835,0.44724,0.89131,1.27979,0.60979,0.92504,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,6138.61,0.87228,1.32113,0.59765,0.91177,0,0.77009,0.75013,0.80903,0.57724,0.76418,0.72678,0.77954,0.44031,0.88881,1.26481,0.60725,0.92641,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,6299.02,0.87981,1.349,0.58969,0.91079,0,0.77423,0.75681,0.81534,0.58633,0.75795,0.72582,0.7798,0.44727,0.88158,1.25198,0.59939,0.92728,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,6460.04,0.86822,1.29087,0.59174,0.91116,0,0.76913,0.75741,0.81588,0.58314,0.77362,0.71042,0.77928,0.4507,0.88725,1.28753,0.59828,0.92718,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,6620.96,0.86547,1.2959,0.588,0.91421,0,0.75327,0.77133,0.8122,0.58279,0.74981,0.72783,0.77593,0.44612,0.88045,1.23193,0.60364,0.9263,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,6781.71,0.87259,1.30503,0.59528,0.90684,0,0.75693,0.76256,0.80876,0.57598,0.74896,0.72359,0.77052,0.4344,0.89336,1.27598,0.6165,0.92846,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,6942.32,0.86633,1.30493,0.58458,0.90981,0,0.77582,0.74958,0.81056,0.58768,0.77391,0.70974,0.77503,0.44669,0.87386,1.28308,0.59851,0.92407,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,7103.05,0.86327,1.32236,0.57826,0.90516,0,0.76131,0.76578,0.81758,0.58466,0.7558,0.73329,0.78492,0.45115,0.8806,1.30622,0.5957,0.92402,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,7263.72,0.86311,1.28103,0.58901,0.91199,0,0.76743,0.7598,0.81382,0.58598,0.75865,0.72998,0.77693,0.45051,0.87146,1.2538,0.59759,0.92252,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
