epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,3096.87,0.9263,1.42637,0.64965,0.91707,0,0.75701,0.71782,0.78811,0.55786,0.75595,0.70211,0.76151,0.42608,0.90553,1.35635,0.66465,0.91832,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,3230.35,0.92007,1.41666,0.64755,0.91607,0,0.76484,0.74185,0.80134,0.56626,0.76457,0.71095,0.77199,0.43595,0.91383,1.33003,0.64643,0.91986,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,3363.84,0.91701,1.39547,0.64495,0.913,0,0.76013,0.75484,0.8026,0.57286,0.76328,0.71659,0.7736,0.44571,0.90394,1.32633,0.6364,0.91441,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,3497.4,0.90869,1.39599,0.64153,0.91162,0,0.75004,0.73836,0.80216,0.57051,0.75829,0.69591,0.75969,0.4192,0.92284,1.4561,0.64697,0.91771,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,3630.86,0.90652,1.36011,0.63316,0.91253,0,0.76961,0.74871,0.8139,0.58107,0.76179,0.72641,0.78252,0.44283,0.89953,1.29411,0.6214,0.91591,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,3764.35,0.88807,1.35348,0.62563,0.91078,0,0.77294,0.74727,0.81247,0.5786,0.76145,0.7227,0.78183,0.44223,0.89052,1.31992,0.62966,0.91503,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,3897.93,0.91079,1.40079,0.63026,0.91314,0,0.77122,0.74367,0.80841,0.57877,0.76972,0.71771,0.7817,0.45122,0.89697,1.28029,0.63634,0.9131,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,4031.42,0.89675,1.37712,0.62815,0.90897,0,0.77359,0.74763,0.80578,0.57399,0.76333,0.73277,0.78112,0.44818,0.89797,1.28868,0.62899,0.92006,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,4164.9,0.89482,1.35427,0.62229,0.91051,0,0.75724,0.74869,0.80046,0.57165,0.75626,0.71024,0.76608,0.43025,0.9,1.33594,0.64529,0.91583,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,4298.22,0.89755,1.36033,0.62721,0.90987,0,0.76694,0.75759,0.81336,0.58394,0.76622,0.7226,0.77789,0.44927,0.8772,1.24634,0.62075,0.90881,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,4431.71,0.89028,1.41219,0.61902,0.9027,0,0.78052,0.74899,0.81684,0.58978,0.77757,0.72306,0.78656,0.4475,0.8861,1.36495,0.61146,0.91108,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,4565.07,0.88043,1.35187,0.61504,0.9016,0,0.77842,0.75052,0.81581,0.58371,0.77901,0.72045,0.78267,0.44874,0.88959,1.28662,0.61315,0.9113,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,4698.49,0.89175,1.35787,0.61543,0.90369,0,0.78653,0.75167,0.8109,0.58483,0.77703,0.72356,0.77853,0.44479,0.88475,1.30468,0.61607,0.90963,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,4831.49,0.87182,1.32796,0.60698,0.89955,0,0.78135,0.74807,0.81175,0.58569,0.77812,0.71895,0.78519,0.45138,0.88912,1.28593,0.61449,0.90801,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,4964.69,0.88522,1.34803,0.60793,0.89944,0,0.77732,0.7483,0.81283,0.58532,0.7703,0.7162,0.77486,0.44717,0.8897,1.29394,0.61839,0.91246,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,5097.72,0.87703,1.32873,0.60712,0.8979,0,0.78731,0.74466,0.81186,0.57905,0.76586,0.71992,0.77393,0.4379,0.89222,1.26355,0.62357,0.91158,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,5230.93,0.88134,1.34382,0.60026,0.89749,0,0.7852,0.74049,0.81271,0.57915,0.78141,0.7071,0.77228,0.43592,0.89493,1.34576,0.61417,0.91025,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,5363.86,0.86719,1.3003,0.59751,0.89833,0,0.77146,0.75832,0.81087,0.58415,0.76378,0.73009,0.7778,0.45066,0.88887,1.28301,0.6068,0.91347,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,5496.93,0.86447,1.29508,0.60066,0.89952,0,0.78027,0.74914,0.81515,0.58644,0.77711,0.72418,0.78427,0.45512,0.88067,1.24674,0.60997,0.91048,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,5630.01,0.87313,1.30152,0.60319,0.8943,0,0.76353,0.76595,0.81334,0.58006,0.75355,0.72464,0.77236,0.43967,0.89329,1.28156,0.61923,0.91661,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,5763.13,0.86664,1.3066,0.59336,0.89493,0,0.76864,0.7611,0.81261,0.58623,0.7589,0.73129,0.7812,0.45439,0.88116,1.25777,0.60745,0.90842,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,5896.17,0.86679,1.32269,0.58549,0.89142,0,0.76087,0.7715,0.81588,0.58555,0.76893,0.72403,0.78096,0.4532,0.8903,1.28223,0.6103,0.91163,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
