epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,60.9422,1.34111,2.61664,2.12112,1.04135,0,0.98744,0.10443,0.38284,0.28609,0.98883,0.10473,0.38837,0.21514,1.08592,2.04898,2.64449,0.89648,0,0.00986667,0.00328889,0.00986667,0.00328889,0.00986667,0.00328889,0.00986667,0.00328889
2,101.606,1.16779,2.06425,1.14447,0.94848,0,0.5792,0.56738,0.63124,0.40829,0.57486,0.51321,0.5639,0.23689,1.13216,3.09305,1.20818,0.9243,0,0.0198011,0.00660037,0.0198011,0.00660037,0.0198011,0.00660037,0.0198011,0.00660037
3,142.564,1.20935,2.0406,1.10966,0.9651,0,0.33374,0.255,0.21026,0.12646,0.28919,0.20611,0.16354,0.05816,1.61239,4.05414,6.10401,1.26106,0,0.0296695,0.00988985,0.0296695,0.00988985,0.0296695,0.00988985,0.0296695,0.00988985
4,181.34,1.20183,1.97829,1.05712,0.97133,0,0.66607,0.68487,0.68319,0.41698,0.64043,0.63449,0.62681,0.24723,1.16082,3.06653,1.55392,0.97879,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,220.219,1.18044,1.90619,0.96446,0.96124,0,0.61408,0.64137,0.63238,0.36987,0.61045,0.62992,0.62642,0.27808,1.17251,2.256,1.19914,0.95158,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,258.846,1.14847,1.79977,0.89542,0.95598,0,0.69115,0.68417,0.71544,0.45286,0.69154,0.66878,0.6977,0.33322,1.08953,1.8404,1.08599,0.94554,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,297.559,1.11811,1.7386,0.863,0.9486,0,0.6448,0.6583,0.70222,0.44806,0.63868,0.6249,0.65865,0.30988,1.07879,1.77227,0.9902,0.9314,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,336.33,1.09671,1.73089,0.83419,0.94438,0,0.657,0.65283,0.71362,0.47133,0.66866,0.60977,0.66564,0.30067,1.06356,2.50322,0.92833,0.92781,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,374.844,1.07786,1.71473,0.82172,0.94204,0,0.75026,0.71394,0.77088,0.52149,0.74558,0.70584,0.75737,0.42687,1.00914,1.49933,0.76279,0.91968,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,415.502,1.06677,1.67677,0.81429,0.94012,0,0.66215,0.65062,0.71276,0.47604,0.67371,0.62586,0.68766,0.35992,1.01974,1.49837,0.94378,0.9209,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
