epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,80.7559,1.14362,2.30613,1.2947,1.00452,0,0.72554,0.70257,0.74661,0.50605,0.71814,0.68019,0.72356,0.36244,0.97933,1.7117,0.8595,0.90029,0,0.00993333,0.00331111,0.00993333,0.00331111,0.00993333,0.00331111,0.00993333,0.00331111
2,146.171,1.06638,1.92263,0.91194,0.9283,0,0.60387,0.65425,0.68107,0.43274,0.62581,0.59151,0.63046,0.28367,1.14051,2.63214,1.19488,0.92983,0,0.0198676,0.00662252,0.0198676,0.00662252,0.0198676,0.00662252,0.0198676,0.00662252
3,209.752,1.13495,1.97188,0.92949,0.9562,0,0.608,0.62511,0.65637,0.43099,0.60618,0.61675,0.64971,0.335,1.07466,1.80378,1.13506,0.94061,0,0.0297358,0.00991192,0.0297358,0.00991192,0.0297358,0.00991192,0.0297358,0.00991192
4,273.113,1.14992,1.86912,0.90635,0.968,0,0.63046,0.5814,0.60464,0.40544,0.62752,0.56164,0.58296,0.25559,1.11566,2.4107,1.4027,0.97569,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,335.793,1.10415,1.78044,0.85355,0.95308,0,0.68092,0.67351,0.71196,0.46701,0.69594,0.61101,0.66659,0.32248,1.07288,1.73917,0.8998,0.93673,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,398.894,1.09875,1.74164,0.81952,0.95415,0,0.68382,0.67432,0.71109,0.47855,0.67303,0.6613,0.69641,0.35572,1.02618,1.83946,0.94442,0.93799,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,461.346,1.06862,1.66346,0.79375,0.94628,0,0.7013,0.70801,0.75083,0.50091,0.70476,0.68919,0.738,0.38991,1.02761,1.56951,0.80682,0.93342,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,524.285,1.05305,1.66065,0.7876,0.94026,0,0.73535,0.72259,0.76661,0.52037,0.74267,0.69907,0.75561,0.42118,0.99938,1.53077,0.77707,0.92868,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,586.674,1.03935,1.61767,0.76653,0.93969,0,0.70876,0.72238,0.77269,0.52978,0.71446,0.6842,0.73528,0.38715,0.98047,1.56401,0.73417,0.91763,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,649.237,1.02304,1.60099,0.75862,0.93779,0,0.71899,0.71073,0.73036,0.50525,0.72368,0.66702,0.70588,0.37953,0.979,1.59708,0.83995,0.92102,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,711.988,1.01608,1.5894,0.7426,0.93133,0,0.72902,0.74236,0.78239,0.53948,0.73659,0.69794,0.75076,0.41274,0.96046,1.41095,0.72898,0.91126,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,774.679,0.99999,1.59379,0.73785,0.92832,0,0.72259,0.72827,0.7762,0.53523,0.72349,0.70827,0.75394,0.42416,0.96912,1.3829,0.7286,0.9168,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,837.2,0.99641,1.55065,0.72572,0.92454,0,0.70983,0.71524,0.77238,0.52961,0.7141,0.69148,0.75296,0.3998,0.97148,1.71265,0.74366,0.91979,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,899.987,0.99447,1.53993,0.7251,0.92263,0,0.73703,0.72665,0.77604,0.53955,0.74,0.69875,0.75285,0.42038,0.93582,1.41217,0.72297,0.90597,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,962.478,0.96872,1.51285,0.70311,0.92024,0,0.74508,0.74108,0.77741,0.53496,0.74916,0.71847,0.75986,0.41782,0.94677,1.4446,0.72339,0.90915,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1025.21,0.98345,1.51887,0.70466,0.91607,0,0.73208,0.75266,0.78126,0.54486,0.73384,0.71834,0.75886,0.42871,0.94129,1.3829,0.70155,0.9072,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1088.05,0.98933,1.52,0.71117,0.92045,0,0.75707,0.74128,0.79571,0.5595,0.75931,0.70376,0.76292,0.42674,0.94489,1.3737,0.67369,0.90511,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1151.01,0.98005,1.48297,0.70296,0.91656,0,0.74268,0.73636,0.78748,0.55179,0.74904,0.70322,0.76275,0.42858,0.94479,1.38468,0.69598,0.90671,0,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1213.59,0.95921,1.51817,0.67869,0.91103,0,0.7736,0.72739,0.7944,0.56333,0.78471,0.70144,0.7708,0.43125,0.91491,1.39678,0.67629,0.90257,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1276.46,0.95754,1.47004,0.69199,0.91076,0,0.74526,0.74814,0.79468,0.55835,0.74541,0.72206,0.77185,0.42724,0.94308,1.37124,0.68566,0.90787,0,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1339.07,0.95123,1.49401,0.67052,0.91272,0,0.76372,0.72384,0.79202,0.55481,0.76596,0.68996,0.75554,0.41746,0.94215,1.40426,0.67107,0.90909,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1401.99,0.96046,1.47823,0.67728,0.91153,0,0.76383,0.72936,0.7902,0.55465,0.76077,0.70301,0.76558,0.437,0.93371,1.34321,0.68617,0.90461,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1464.46,0.94182,1.46144,0.66369,0.90908,0,0.73788,0.75122,0.79477,0.55321,0.74909,0.71646,0.77111,0.42652,0.93867,1.37165,0.68333,0.91048,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1527.22,0.94472,1.45294,0.6653,0.90624,0,0.75539,0.74228,0.80089,0.56134,0.76579,0.71188,0.78352,0.44067,0.92793,1.42409,0.66672,0.90553,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1589.97,0.94531,1.42921,0.67576,0.90527,0,0.76644,0.7347,0.79823,0.56401,0.76587,0.709,0.76807,0.43351,0.92216,1.41653,0.66493,0.90191,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1652.82,0.93149,1.45297,0.66141,0.90063,0,0.75691,0.72767,0.79863,0.5626,0.74872,0.69866,0.76342,0.42405,0.91451,1.37875,0.66934,0.89881,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,1715.17,0.93666,1.44696,0.6584,0.90579,0,0.7565,0.74564,0.81056,0.57258,0.75634,0.71963,0.77832,0.42868,0.91737,1.40715,0.65052,0.90082,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,1777.71,0.92418,1.40572,0.65834,0.90403,0,0.75859,0.7393,0.80196,0.56543,0.76981,0.69793,0.76967,0.43847,0.91068,1.32764,0.65822,0.90015,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,1840.17,0.92206,1.4153,0.6449,0.90466,0,0.76734,0.74152,0.79485,0.56328,0.75176,0.70883,0.75867,0.42838,0.92488,1.31788,0.65791,0.9015,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,1902.87,0.93114,1.41929,0.6551,0.90343,0,0.76649,0.74133,0.80528,0.57108,0.76903,0.70607,0.77476,0.44266,0.91809,1.30005,0.64255,0.89949,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,1965.68,0.92004,1.38648,0.65141,0.90054,0,0.76173,0.74503,0.80174,0.5688,0.76896,0.71387,0.77729,0.44224,0.92566,1.33428,0.64706,0.89947,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,2028.29,0.91787,1.41678,0.63707,0.9007,0,0.766,0.74494,0.80762,0.57034,0.77459,0.71332,0.77772,0.443,0.91733,1.31949,0.64776,0.8981,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2090.89,0.91609,1.38505,0.64098,0.90133,0,0.76178,0.74792,0.80917,0.56963,0.76301,0.70016,0.76926,0.41661,0.91345,1.39111,0.64049,0.89774,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2153.48,0.90326,1.39993,0.63143,0.89436,0,0.766,0.74933,0.80635,0.56933,0.76427,0.71124,0.76612,0.4233,0.92569,1.40252,0.64575,0.89849,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2216.02,0.91153,1.386,0.63255,0.89645,0,0.74336,0.74871,0.79725,0.56844,0.74878,0.7201,0.77208,0.44247,0.90511,1.30995,0.66468,0.89756,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,2278.69,0.90451,1.3833,0.63156,0.89442,0,0.76542,0.74381,0.7992,0.5618,0.76508,0.71053,0.76582,0.43571,0.91787,1.31846,0.6677,0.89705,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,2341.54,0.90915,1.37825,0.62805,0.89557,0,0.75523,0.75145,0.80786,0.57552,0.75562,0.71147,0.77316,0.43883,0.90587,1.28577,0.6426,0.89392,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,2404.15,0.89789,1.38993,0.62763,0.8934,0,0.7554,0.75017,0.79793,0.56902,0.75021,0.71734,0.76567,0.43404,0.89925,1.32094,0.65025,0.89218,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,2466.88,0.90976,1.39467,0.63214,0.89572,0,0.75553,0.75052,0.7989,0.56392,0.73921,0.7223,0.76154,0.43117,0.90427,1.33809,0.66839,0.89391,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2529.8,0.89649,1.36004,0.61802,0.89076,0,0.76457,0.75116,0.80823,0.57695,0.76611,0.72136,0.7779,0.44576,0.89711,1.27578,0.63927,0.89487,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2592.51,0.90501,1.36697,0.62104,0.89246,0,0.76466,0.75289,0.80867,0.57916,0.7606,0.72435,0.78181,0.45059,0.90401,1.29628,0.63141,0.89493,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,2655.38,0.90418,1.38446,0.61953,0.89191,0,0.75573,0.75616,0.81063,0.57922,0.7522,0.72569,0.78246,0.44447,0.90618,1.3031,0.64087,0.89643,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,2717.96,0.89149,1.36509,0.61398,0.88803,0,0.73146,0.7443,0.79439,0.56961,0.7651,0.70107,0.77038,0.43258,0.8996,1.37247,0.64801,0.89553,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,2780.78,0.88476,1.36785,0.60297,0.89064,0,0.77359,0.74359,0.81107,0.57925,0.77801,0.70371,0.77796,0.44493,0.90068,1.28582,0.63701,0.89552,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,2843.03,0.87784,1.32688,0.60726,0.88927,0,0.76581,0.7603,0.81408,0.58421,0.76599,0.72312,0.78226,0.44972,0.90068,1.31181,0.62666,0.89213,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,2905.65,0.8776,1.34491,0.60264,0.88497,0,0.76709,0.75539,0.81215,0.58147,0.76687,0.72651,0.78373,0.44879,0.8977,1.26205,0.62638,0.89337,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,2968.35,0.88157,1.32528,0.60625,0.88405,0,0.75237,0.74996,0.80195,0.56713,0.74151,0.72181,0.7693,0.43896,0.90639,1.28128,0.63576,0.89607,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,3030.99,0.88444,1.32566,0.60934,0.88492,0,0.78686,0.73524,0.81887,0.58299,0.7739,0.70729,0.78069,0.44448,0.89742,1.31061,0.61738,0.89172,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,3093.45,0.8664,1.30856,0.59462,0.88353,0,0.75045,0.75485,0.80695,0.57751,0.76071,0.7137,0.77792,0.4448,0.89053,1.32145,0.63531,0.89212,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,3156.01,0.88661,1.31919,0.60573,0.88803,0,0.76053,0.74858,0.80072,0.56755,0.75964,0.71239,0.76715,0.43301,0.90462,1.32722,0.65085,0.89627,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,3218.43,0.86033,1.31002,0.59604,0.88513,0,0.77277,0.75663,0.81347,0.58453,0.75804,0.73187,0.7809,0.45306,0.90371,1.29954,0.63017,0.89381,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,3281.08,0.87197,1.30787,0.5916,0.88663,0,0.76262,0.74955,0.81202,0.58104,0.7717,0.70762,0.78226,0.45049,0.88878,1.29405,0.63289,0.8924,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,3343.91,0.8662,1.29841,0.59552,0.882,0,0.73172,0.77349,0.8017,0.57185,0.76648,0.707,0.77494,0.44348,0.90555,1.32014,0.63074,0.89808,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,3406.61,0.85592,1.29626,0.58456,0.87941,0,0.76876,0.7623,0.8135,0.58551,0.77164,0.72997,0.79002,0.46332,0.88934,1.25439,0.61964,0.89325,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,3469.29,0.85891,1.27686,0.58494,0.88307,0,0.77083,0.74356,0.80839,0.58063,0.75914,0.71661,0.77192,0.44628,0.89301,1.2912,0.62994,0.89479,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,3531.82,0.86627,1.29297,0.58598,0.88361,0,0.77144,0.74683,0.80936,0.58434,0.77143,0.71781,0.78446,0.46018,0.89667,1.29293,0.61897,0.89281,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,3594.3,0.85874,1.29358,0.58073,0.87914,0,0.74678,0.75912,0.80043,0.5742,0.74716,0.7191,0.76706,0.4432,0.89258,1.27878,0.63661,0.89254,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,3656.96,0.86676,1.27119,0.58463,0.88083,0,0.75924,0.75287,0.80509,0.57596,0.7593,0.7255,0.7846,0.45841,0.89469,1.30785,0.62066,0.89717,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,3719.47,0.8445,1.26994,0.57297,0.87694,0,0.77736,0.74289,0.80967,0.58339,0.77702,0.7126,0.77388,0.45134,0.89064,1.27373,0.61887,0.891,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,3781.97,0.8441,1.25178,0.56959,0.87955,0,0.75379,0.76414,0.81397,0.58448,0.75182,0.7301,0.7782,0.45062,0.88771,1.2803,0.61809,0.89087,0,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,3844.45,0.8515,1.30606,0.57654,0.87977,0,0.788,0.73407,0.80362,0.57465,0.76925,0.69216,0.74989,0.42858,0.90034,1.36501,0.63417,0.89951,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,3907.12,0.85386,1.2861,0.5774,0.87864,0,0.76708,0.7594,0.81459,0.5825,0.77773,0.71362,0.78021,0.4528,0.89776,1.27175,0.61044,0.8973,0,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,3969.49,0.84552,1.2305,0.56919,0.87586,0,0.773,0.74746,0.80617,0.5778,0.76749,0.72781,0.78177,0.45597,0.88299,1.2794,0.63112,0.88954,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,4032.03,0.84469,1.23479,0.57246,0.87834,0,0.76437,0.74979,0.81217,0.58503,0.75979,0.71913,0.77875,0.45388,0.87889,1.2915,0.62211,0.89196,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,4094.49,0.83795,1.25638,0.5669,0.87385,0,0.761,0.75853,0.81032,0.58243,0.78025,0.70799,0.77994,0.45146,0.89152,1.27388,0.61237,0.89626,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,4157.1,0.85055,1.27385,0.56998,0.87834,0,0.78178,0.7303,0.80803,0.5836,0.76565,0.70537,0.76852,0.45313,0.87817,1.27745,0.62027,0.89081,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,4219.53,0.84061,1.24877,0.56408,0.87499,0,0.75225,0.75587,0.80968,0.58074,0.75404,0.70748,0.76794,0.44222,0.8966,1.28417,0.62337,0.89483,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,4282.07,0.84507,1.22967,0.56289,0.87638,0,0.77079,0.74406,0.80417,0.57532,0.75777,0.709,0.76645,0.4527,0.8966,1.28682,0.63557,0.89519,0,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,4344.54,0.84004,1.22735,0.56255,0.87637,0,0.77509,0.74337,0.80837,0.58135,0.77143,0.7071,0.77047,0.4488,0.89245,1.29929,0.62526,0.89498,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,4407.13,0.8316,1.22685,0.5494,0.87068,0,0.7595,0.75635,0.80928,0.57874,0.75214,0.71565,0.76774,0.44225,0.891,1.30356,0.61642,0.89659,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,4470.07,0.85324,1.25532,0.56039,0.87202,0,0.76292,0.76119,0.81194,0.58222,0.75887,0.72718,0.7769,0.45016,0.89147,1.27558,0.62464,0.89669,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,4532.58,0.83477,1.21347,0.55597,0.87555,0,0.76674,0.76002,0.81113,0.58306,0.7549,0.7251,0.77314,0.44983,0.88753,1.26678,0.61613,0.89551,0,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,4595.05,0.83532,1.24243,0.55433,0.87295,0,0.76901,0.75421,0.80923,0.57978,0.74818,0.72446,0.77031,0.4499,0.89162,1.29623,0.61939,0.89773,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,4657.68,0.82787,1.2429,0.54513,0.87111,0,0.75727,0.75012,0.80638,0.57522,0.74565,0.71625,0.76906,0.44049,0.90874,1.28407,0.62985,0.89941,0,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,4720.24,0.82634,1.22002,0.54755,0.86706,0,0.76668,0.75883,0.81085,0.58242,0.75039,0.71725,0.76701,0.44691,0.897,1.28167,0.6219,0.89366,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,4782.93,0.83622,1.20702,0.54947,0.87332,0,0.76558,0.753,0.80317,0.5749,0.75402,0.71261,0.76067,0.44504,0.8991,1.28455,0.63303,0.89812,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,4845.68,0.84034,1.23357,0.55221,0.87006,0,0.75825,0.75514,0.80329,0.57743,0.74416,0.71679,0.76322,0.44057,0.8913,1.28433,0.63372,0.89607,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
