epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,6822.6,0.92274,1.41267,0.65219,0.93848,0,0.73637,0.73935,0.78835,0.55936,0.75434,0.69244,0.75851,0.42502,0.90064,1.31965,0.64134,0.93976,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,7117.02,0.9113,1.406,0.65011,0.93474,0,0.74727,0.7349,0.7979,0.56235,0.74356,0.70414,0.76561,0.43103,0.9021,1.34188,0.64649,0.92814,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,7411.68,0.91746,1.39652,0.64755,0.93962,0,0.75727,0.73364,0.79036,0.5618,0.76094,0.70536,0.76924,0.43832,0.8926,1.30756,0.62943,0.93621,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,7706.17,0.90486,1.41503,0.63965,0.93335,0,0.76448,0.73568,0.80135,0.57233,0.76062,0.70712,0.77103,0.43803,0.88681,1.3054,0.62998,0.93308,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,8000.38,0.91613,1.39778,0.63704,0.93812,0,0.76071,0.73334,0.8022,0.57615,0.76439,0.70274,0.77252,0.43354,0.88477,1.33205,0.61799,0.92694,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,8294.29,0.88996,1.39336,0.62531,0.92596,0,0.76809,0.74226,0.8015,0.56888,0.77176,0.70455,0.76588,0.43089,0.89127,1.30744,0.62434,0.9294,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,8587.9,0.89649,1.36977,0.62733,0.93032,0,0.76058,0.74484,0.79989,0.57178,0.75324,0.72134,0.7757,0.44757,0.88935,1.29296,0.61413,0.93252,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,8882.23,0.89732,1.38396,0.61981,0.92642,0,0.75793,0.73814,0.7974,0.56963,0.75019,0.71287,0.76758,0.43358,0.88688,1.33144,0.63093,0.92968,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,9175.96,0.88723,1.35322,0.62089,0.92858,0,0.75729,0.75229,0.79742,0.5693,0.76673,0.71152,0.76691,0.43513,0.88485,1.31525,0.61089,0.93072,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,9469.82,0.89491,1.34514,0.61972,0.92745,0,0.74406,0.74775,0.80017,0.57362,0.76393,0.70604,0.77576,0.44055,0.88072,1.30183,0.62518,0.92933,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,9763.53,0.88906,1.3865,0.61685,0.92462,0,0.76903,0.75072,0.81522,0.58177,0.76987,0.7182,0.78461,0.44011,0.88564,1.34894,0.61292,0.92961,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,10057.9,0.88332,1.34137,0.6127,0.91965,0,0.77173,0.74252,0.80489,0.57465,0.76683,0.70506,0.77134,0.43297,0.8857,1.29569,0.61561,0.92802,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,10351.5,0.87263,1.32405,0.60422,0.92292,0,0.77953,0.74445,0.80866,0.57797,0.77746,0.71644,0.77766,0.44444,0.88537,1.28612,0.60761,0.92696,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,10645.8,0.87652,1.34196,0.60552,0.92138,0,0.78126,0.74174,0.8096,0.57871,0.78198,0.70521,0.77416,0.43964,0.88074,1.27834,0.61211,0.92399,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,10939.3,0.86726,1.32443,0.59719,0.9179,0,0.76966,0.74685,0.80772,0.58037,0.76073,0.73072,0.78186,0.44847,0.87904,1.26838,0.60771,0.92781,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,11233.6,0.86834,1.32895,0.59894,0.9181,0,0.77346,0.74389,0.79752,0.57176,0.76265,0.719,0.76644,0.444,0.87775,1.25543,0.619,0.92848,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,11527.3,0.87328,1.32887,0.59862,0.92271,0,0.75801,0.75161,0.80789,0.58182,0.7476,0.71807,0.77347,0.44586,0.87202,1.29238,0.61307,0.9265,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,11821.2,0.85938,1.31579,0.58851,0.91507,0,0.76715,0.75572,0.80716,0.58281,0.77541,0.71334,0.77732,0.44449,0.87116,1.30096,0.60085,0.92045,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
